MU5146,PEK,PVG,76A,2013/11/27,11:30:00,10608
MU5146,PEK,PVG,76A,2013/11/28,11:30:00,10635
MU5146,PEK,PVG,76A,2013/11/29,11:30:00,10660
MU5146,PEK,PVG,320,2013/12/01,11:30:00,10702
MU5146,PEK,PVG,76A,2013/12/04,11:30:00,10773
MU5146,PEK,PVG,76A,2013/12/05,11:30:00,10800
MU5146,PEK,PVG,76A,2013/12/06,11:30:00,10826
MU5146,PEK,PVG,76A,2013/12/09,11:30:00,10895
MU5146,PEK,PVG,76A,2013/12/10,11:30:00,10920
MU5146,PEK,PVG,76A,2013/12/11,11:30:00,10946
MU5146,PEK,PVG,76A,2013/12/12,11:30:00,10973
MU5146,PEK,PVG,76A,2013/12/13,11:30:00,10999
MU5146,PEK,PVG,76A,2013/12/16,11:30:00,11068
MU5146,PEK,PVG,76A,2013/12/17,11:30:00,11093
MU5146,PEK,PVG,76A,2013/12/18,11:30:00,11119
MU5146,PEK,PVG,76A,2013/12/19,11:30:00,11146
MU5146,PEK,PVG,76A,2013/12/20,11:30:00,11172
MU5146,PEK,PVG,76A,2013/12/23,11:30:00,11241
MU5146,PEK,PVG,76A,2013/12/24,11:30:00,11266
MU5146,PEK,PVG,76A,2013/12/25,11:30:00,11291
MU5146,PEK,PVG,76A,2013/12/26,11:30:00,11318
MU5146,PEK,PVG,76A,2013/12/27,11:30:00,11343
MU5146,PEK,PVG,76A,2013/12/30,11:30:00,11412
MU5146,PEK,PVG,76A,2013/12/31,11:30:00,11437
MU5146,PEK,PVG,76A,2014/01/01,11:30:00,11462
MU5146,PEK,PVG,76A,2014/01/02,11:30:00,11489
MU5146,PEK,PVG,76A,2014/01/03,11:30:00,11514
MU5146,PEK,PVG,76A,2014/01/04,11:30:00,11540
MU5146,PEK,PVG,76A,2014/01/05,11:30:00,11563
MU5146,PEK,PVG,76A,2014/01/06,11:30:00,11589
MU5146,PEK,PVG,76A,2014/01/07,11:30:00,11616
MU5146,PEK,PVG,76A,2014/01/08,11:30:00,11642
MU5146,PEK,PVG,76A,2014/01/09,11:30:00,11669
MU5146,PEK,PVG,76A,2014/01/10,11:30:00,11694
MU5146,PEK,PVG,76A,2014/01/11,11:30:00,11720
MU5146,PEK,PVG,76A,2014/01/12,11:30:00,11743
MU5146,PEK,PVG,76A,2014/01/13,11:30:00,11769
MU5146,PEK,PVG,76A,2014/01/14,11:30:00,11796
MU5146,PEK,PVG,76A,2014/01/15,11:30:00,11822
MU5146,PEK,PVG,76A,2014/01/16,11:30:00,11849
MU5146,PEK,PVG,76A,2014/01/17,11:30:00,11874
MU5146,PEK,PVG,76A,2014/01/20,11:30:00,11945
MU5146,PEK,PVG,76A,2014/01/21,11:30:00,11969
MU5146,PEK,PVG,76A,2014/01/22,11:30:00,11993
MU5146,PEK,PVG,76A,2014/01/23,11:30:00,12020
MU5146,PEK,PVG,76A,2014/01/24,11:30:00,12045
MU5146,PEK,PVG,76A,2014/01/25,11:30:00,871410
MU5146,PEK,PVG,76A,2014/02/14,11:30:00,12477
MU5146,PEK,PVG,76A,2014/02/16,11:30:00,12522
MU5146,PEK,PVG,76A,2014/02/17,11:30:00,12548
MU5146,PEK,PVG,76A,2014/02/18,11:30:00,12575
MU5146,PEK,PVG,76A,2014/02/19,11:30:00,12601
MU5146,PEK,PVG,76A,2014/02/20,11:30:00,12628
MU5146,PEK,PVG,76A,2014/02/21,11:30:00,12653
MU5146,PEK,PVG,76A,2014/02/22,11:30:00,12679
MU5146,PEK,PVG,76A,2014/02/23,11:30:00,12702
MU5146,PEK,PVG,76A,2014/02/24,11:30:00,27232
MU5146,PEK,PVG,76A,2014/02/25,11:30:00,77898
MU5146,PEK,PVG,76A,2014/02/26,11:30:00,77925
MU5146,PEK,PVG,76A,2014/02/27,11:30:00,144663
MU5146,PEK,PVG,76A,2014/02/28,11:30:00,211014
MU5146,PEK,PVG,76A,2014/03/01,11:30:00,277662
MU5146,PEK,PVG,76A,2014/03/02,11:30:00,345415
MU5146,PEK,PVG,76A,2014/03/03,11:30:00,412413
MU5146,PEK,PVG,76A,2014/03/04,11:30:00,626176
MU5146,PEK,PVG,76A,2014/03/05,11:30:00,735805
MU5146,PEK,PVG,76A,2014/03/06,11:30:00,831318
MU5146,PEK,PVG,76A,2014/03/07,11:30:00,831345
MU5146,PEK,PVG,76A,2014/03/08,11:30:00,872200
MU5146,PEK,PVG,76A,2014/03/09,11:30:00,951221
MU5146,PEK,PVG,76A,2014/03/10,11:30:00,980985
MU5146,PEK,PVG,76A,2014/03/11,11:30:00,1081792
MU5146,PEK,PVG,76A,2014/03/12,11:30:00,1081820
MU5146,PEK,PVG,76A,2014/03/13,11:30:00,1164451
MU5146,PEK,PVG,76A,2014/03/14,11:30:00,1260975
MU5146,PEK,PVG,76A,2014/03/15,11:30:00,1337575
MU5146,PEK,PVG,76A,2014/03/16,11:30:00,1424159
MU5146,PEK,PVG,76A,2014/03/17,11:30:00,1500417
MU5146,PEK,PVG,76A,2014/03/18,11:30:00,1581716
MU5146,PEK,PVG,76A,2014/03/19,11:30:00,1661524
MU5146,PEK,PVG,76A,2014/03/20,11:30:00,1744554
MU5146,PEK,PVG,76A,2014/03/21,11:30:00,1767573
MU5146,PEK,PVG,76A,2014/03/22,11:30:00,1861904
MU5146,PEK,PVG,76A,2014/03/23,11:30:00,1946154
MU5146,PEK,PVG,76A,2014/03/24,11:30:00,2033939
MU5146,PEK,PVG,76A,2014/03/25,11:30:00,2146351
MU5146,PEK,PVG,76A,2014/03/26,11:30:00,2146379
MU5146,PEK,PVG,76A,2014/03/27,11:30:00,2230556
MU5146,PEK,PVG,76A,2014/03/28,11:30:00,2319752
MU5146,PEK,PVG,76A,2014/03/29,11:30:00,2394577
MU5146,PEK,PVG,76A,2014/03/30,11:30:00,2447100
MU5146,PEK,PVG,76A,2014/03/31,11:30:00,2531617
MU5146,PEK,PVG,76A,2014/04/01,11:30:00,2600482
MU5146,PEK,PVG,76A,2014/04/02,11:30:00,2669272
MU5146,PEK,PVG,76A,2014/04/03,11:30:00,2749570
MU5146,PEK,PVG,76A,2014/04/04,11:30:00,2845987
MU5146,PEK,PVG,76A,2014/04/05,11:30:00,2930682
MU5146,PEK,PVG,76A,2014/04/06,11:30:00,3013579
MU5146,PEK,PVG,76A,2014/04/07,11:30:00,3103889
MU5146,PEK,PVG,76A,2014/04/08,11:30:00,3191311
MU5146,PEK,PVG,76A,2014/04/09,11:30:00,3351954
MU5146,PEK,PVG,76A,2014/04/10,11:30:00,3440195
MU5146,PEK,PVG,76A,2014/04/11,11:30:00,3509858
MU5146,PEK,PVG,76A,2014/04/12,11:30:00,3597509
MU5146,PEK,PVG,76A,2014/04/13,11:30:00,3667348
MU5146,PEK,PVG,76A,2014/04/14,11:30:00,3741875
