10604,2013/11/26,900
10631,2013/11/26,1020
10656,2013/11/26,900
10682,2013/11/26,900
10724,2013/11/26,830
10747,2013/11/26,340
10769,2013/11/26,380
10796,2013/11/26,380
10822,2013/11/26,380
10848,2013/11/26,340
10891,2013/11/26,340
10916,2013/11/26,340
10942,2013/11/26,380
10969,2013/11/26,380
10995,2013/11/26,380
11021,2013/11/26,340
11064,2013/11/26,340
11089,2013/11/26,340
11115,2013/11/26,380
11142,2013/11/26,380
11168,2013/11/26,380
11194,2013/11/26,340
11237,2013/11/26,340
11262,2013/11/26,340
11287,2013/11/26,510
11314,2013/11/26,380
11339,2013/11/26,380
11365,2013/11/26,340
11408,2013/11/26,340
11433,2013/11/26,340
11458,2013/11/26,380
11485,2013/11/26,380
11510,2013/11/26,380
11536,2013/11/26,340
11559,2013/11/26,380
11585,2013/11/26,340
11612,2013/11/26,340
11638,2013/11/26,380
11665,2013/11/26,380
11690,2013/11/26,380
11716,2013/11/26,340
11739,2013/11/26,380
11765,2013/11/26,340
11792,2013/11/26,340
11818,2013/11/26,380
11845,2013/11/26,380
11870,2013/11/26,380
11896,2013/11/26,340
11916,2013/11/26,380
11941,2013/11/26,340
11965,2013/11/26,340
11989,2013/11/26,380
12016,2013/11/26,380
12041,2013/11/26,440
12473,2013/11/26,440
12518,2013/11/26,440
12544,2013/11/26,400
12571,2013/11/26,400
12597,2013/11/26,440
12624,2013/11/26,440
12649,2013/11/26,440
12675,2013/11/26,400
12698,2013/11/26,380
10631,2013/11/27,1020
10656,2013/11/27,1020
10682,2013/11/27,900
10724,2013/11/27,830
10747,2013/11/27,830
10769,2013/11/27,380
10796,2013/11/27,380
10822,2013/11/27,380
10848,2013/11/27,400
10891,2013/11/27,340
10916,2013/11/27,340
10969,2013/11/27,380
10995,2013/11/27,380
11021,2013/11/27,340
11064,2013/11/27,340
11089,2013/11/27,340
11115,2013/11/27,380
11142,2013/11/27,380
11168,2013/11/27,380
11194,2013/11/27,340
11237,2013/11/27,340
11262,2013/11/27,340
11287,2013/11/27,510
11314,2013/11/27,380
11339,2013/11/27,380
11365,2013/11/27,340
11408,2013/11/27,340
11433,2013/11/27,340
11458,2013/11/27,380
11485,2013/11/27,380
11510,2013/11/27,380
11536,2013/11/27,340
11559,2013/11/27,380
11585,2013/11/27,340
11612,2013/11/27,340
11638,2013/11/27,380
11665,2013/11/27,380
11690,2013/11/27,380
11716,2013/11/27,340
11739,2013/11/27,380
11765,2013/11/27,340
11792,2013/11/27,340
11818,2013/11/27,380
11845,2013/11/27,380
11870,2013/11/27,380
11896,2013/11/27,340
11916,2013/11/27,380
11941,2013/11/27,340
11965,2013/11/27,340
11989,2013/11/27,380
12016,2013/11/27,380
12041,2013/11/27,380
12473,2013/11/27,440
12518,2013/11/27,440
12544,2013/11/27,400
12571,2013/11/27,400
12597,2013/11/27,440
12624,2013/11/27,440
12649,2013/11/27,440
12675,2013/11/27,400
12698,2013/11/27,440
27228,2013/11/27,340
10682,2013/11/29,3010
10724,2013/11/29,900
10747,2013/11/29,900
10769,2013/11/29,610
10796,2013/11/29,830
10822,2013/11/29,380
10848,2013/11/29,340
10891,2013/11/29,340
10916,2013/11/29,340
10942,2013/11/29,380
10969,2013/11/29,380
10995,2013/11/29,380
11021,2013/11/29,340
11064,2013/11/29,340
11115,2013/11/29,380
11142,2013/11/29,380
11168,2013/11/29,380
11194,2013/11/29,340
11237,2013/11/29,340
11262,2013/11/29,340
11287,2013/11/29,510
11314,2013/11/29,380
11339,2013/11/29,380
11365,2013/11/29,340
11408,2013/11/29,340
11433,2013/11/29,340
11458,2013/11/29,380
11485,2013/11/29,380
11510,2013/11/29,380
11536,2013/11/29,340
11559,2013/11/29,380
11585,2013/11/29,340
11612,2013/11/29,340
11638,2013/11/29,380
11665,2013/11/29,380
11690,2013/11/29,380
11716,2013/11/29,340
11739,2013/11/29,380
11765,2013/11/29,340
11792,2013/11/29,340
11818,2013/11/29,380
11845,2013/11/29,380
11870,2013/11/29,380
11896,2013/11/29,340
11916,2013/11/29,380
11941,2013/11/29,340
11965,2013/11/29,340
11989,2013/11/29,380
12016,2013/11/29,380
12041,2013/11/29,380
12473,2013/11/29,380
12518,2013/11/29,380
12544,2013/11/29,340
12571,2013/11/29,340
12597,2013/11/29,380
12624,2013/11/29,380
12649,2013/11/29,380
12675,2013/11/29,340
12698,2013/11/29,380
27228,2013/11/29,340
77894,2013/11/29,340
77921,2013/11/29,380
10747,2013/11/30,900
10769,2013/11/30,700
10796,2013/11/30,830
10822,2013/11/30,830
10848,2013/11/30,340
10891,2013/11/30,340
10916,2013/11/30,340
10942,2013/11/30,380
10969,2013/11/30,380
10995,2013/11/30,380
11021,2013/11/30,340
11064,2013/11/30,340
11089,2013/11/30,340
11115,2013/11/30,380
11142,2013/11/30,380
11168,2013/11/30,380
11194,2013/11/30,340
11237,2013/11/30,340
11262,2013/11/30,340
11287,2013/11/30,510
11314,2013/11/30,380
11339,2013/11/30,380
11365,2013/11/30,340
11408,2013/11/30,340
11433,2013/11/30,340
11458,2013/11/30,380
11485,2013/11/30,380
11510,2013/11/30,380
11536,2013/11/30,340
11559,2013/11/30,380
11585,2013/11/30,340
11612,2013/11/30,340
11638,2013/11/30,380
11665,2013/11/30,380
11716,2013/11/30,340
11739,2013/11/30,380
11765,2013/11/30,340
11818,2013/11/30,380
11845,2013/11/30,380
11870,2013/11/30,380
11896,2013/11/30,340
11916,2013/11/30,380
11941,2013/11/30,340
11965,2013/11/30,340
11989,2013/11/30,380
12041,2013/11/30,380
12473,2013/11/30,380
12518,2013/11/30,380
12544,2013/11/30,340
12571,2013/11/30,340
12597,2013/11/30,380
12624,2013/11/30,380
